INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	SMILES	QSAR_READY_SMILES
3037-72-7	CAS-RN	DTXSID20893072	4-​(diethoxymethylsilyl​)​-1-​Butanamine,	CCO[Si](C)(CCCCN)OCC	CCO[Si](C)(CCCCN)OCC
30392-41-7	CAS-RN	DTXSID80952735	Methanesulfonic acid--4-[2-(tert-butylamino)-1-hydroxyethyl]-1,2-phenylene bis(4-methylbenzoate) (1/1)	CS(O)(=O)=O.CC1=CC=C(C=C1)C(=O)OC1=C(OC(=O)C2=CC=C(C)C=C2)C=C(C=C1)C(O)CNC(C)(C)C	CC1=CC=C(C=C1)C(=O)OC1=C(OC(=O)C2=CC=C(C)C=C2)C=C(C=C1)C(O)CNC(C)(C)C
30399-84-9	CAS-RN	DTXSID2027963	Isooctadecanoic acid	-	-
304-20-1	CAS-RN	DTXSID1044645	Hydralazine hydrochloride	Cl.NNC1=NN=CC2=CC=CC=C12	NNC1=NN=CC2=CC=CC=C12
304-81-4	CAS-RN	DTXSID70184482	Phenazine oxide	[O-][N+]1=C2C=CC=CC2=NC2=CC=CC=C12	[O-][N+]1=C2C=CC=CC2=NC2=CC=CC=C12
304-84-7	CAS-RN	DTXSID3023007	Ethamivan	CCN(CC)C(=O)C1=CC(OC)=C(O)C=C1	CCN(CC)C(=O)C1=CC(OC)=C(O)C=C1
3040-44-6	CAS-RN	DTXSID4062808	1-Piperidineethanol	OCCN1CCCCC1	OCCN1CCCCC1
30406-18-9	CAS-RN	DTXSID90184489	Heptanamide, N-hydroxy-	CCCCCCC(=O)NO	CCCCCCC(=O)NO
3042-84-0	CAS-RN	DTXSID1041685	Brompyrazon	NC1=C(Br)C(=O)N(N=C1)C1=CC=CC=C1	BrC1C(=N)C=NN(C1=O)C1=CC=CC=C1
30468-49-6	NO_MATCH	-	-	-	-
3047-32-3	CAS-RN	DTXSID8062812	3-Oxetanemethanol, 3-ethyl-	CCC1(CO)COC1	CCC1(CO)COC1
3047-33-4	CAS-RN	DTXSID3062813	Trisodium 1,3,5-triazine-2,4,6-trione	[Na+].[Na+].[Na+].O=C1[N-]C(=O)[N-]C(=O)[N-]1	OC1=NC(O)=NC(O)=N1
3048-64-4	CAS-RN	DTXSID6029250	5-Vinyl-2-norbornene	C=CC1CC2CC1C=C2	C=CC1CC2CC1C=C2
3048-76-8	CAS-RN	DTXSID50952803	3,8-Dimethyl-2,7-dioxaspiro[4.4]nonane-1,6-dione	CC1CC2(CC(C)OC2=O)C(=O)O1	CC1CC2(CC(C)OC2=O)C(=O)O1
30484-77-6	CAS-RN	DTXSID80184554	Flunarizine hydrochloride	Cl.Cl.FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1	FC1=CC=C(C=C1)C(N1CCN(CC=CC2=CC=CC=C2)CC1)C1=CC=C(F)C=C1
30499-70-8	CAS-RN	DTXSID3050444	Epichlorohydrin-trimethylolpropane copolymer	-	-
305-03-3	CAS-RN	DTXSID7020263	Chlorambucil	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
305-85-1	CAS-RN	DTXSID4046573	2,6-Diiodo-4-nitrophenol	OC1=C(I)C=C(C=C1I)[N+]([O-])=O	OC1=C(I)C=C(C=C1I)[N+]([O-])=O
30507-70-1	CAS-RN	DTXSID60858786	9,12-Tetradecadien-1-yl, acetate, (Z,E)-	C\C=C\C\C=C/CCCCCCCCOC(C)=O	CC=CCC=CCCCCCCCCOC(C)=O
30516-87-1	CAS-RN	DTXSID8020127	3'-Azido-3'-deoxythymidine	CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O	CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)N=C1O
30544-47-9	CAS-RN	DTXSID2045448	Etofenamate	OCCOCCOC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C=CC=C1	OCCOCCOC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C=CC=C1
30544-61-7	CAS-RN	DTXSID10184628	Clanobutin	COC1=CC=C(C=C1)N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1	COC1=CC=C(C=C1)N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1
30544-65-1	CAS-RN	DTXSID70184629	Butyric acid, 4-(p-chloro-N-(p-ethoxyphenyl)benzamido)-	CCOC1=CC=C(C=C1)N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1	CCOC1=CC=C(C=C1)N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1
30544-68-4	CAS-RN	DTXSID80184630	Butyric acid, 4-(p-chloro-N-(2,4-dimethoxyphenyl)benzamido)-	COC1=CC(OC)=C(C=C1)N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1	COC1=CC(OC)=C(C=C1)N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1
30544-71-9	CAS-RN	DTXSID00184632	Butyric acid, 4-(o-chloro-N-2,6-xylylbenzamido)-	CC1=CC=CC(C)=C1N(CCCC(O)=O)C(=O)C1=CC=CC=C1Cl	CC1=CC=CC(C)=C1N(CCCC(O)=O)C(=O)C1=CC=CC=C1Cl
30544-72-0	CAS-RN	DTXSID60184633	Butyric acid, 4-(p-chloro-N-2,6-xylylbenzamido)-	CC1=CC=CC(C)=C1N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1	CC1=CC=CC(C)=C1N(CCCC(O)=O)C(=O)C1=CC=C(Cl)C=C1
30558-43-1	CAS-RN	DTXSID9029350	Oxamyl oxime	CSC(=NO)C(=O)N(C)C	CSC(=NO)C(=O)N(C)C
3056-17-5	CAS-RN	DTXSID1023819	Stavudine	CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O	CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O
3056-93-7	CAS-RN	DTXSID6051984	C.I. Basic Orange 21	[Cl-].CC1=C(C=CC2=[N+](C)C3=CC=CC=C3C2(C)C)C2=C(N1)C=CC=C2	CC1=C(\C=C\C2=[N+](C)C3=CC=CC=C3C2(C)C)C2=CC=CC=C2N1
30560-19-1	CAS-RN	DTXSID8023846	Acephate	COP(=O)(NC(C)=O)SC	COP(=O)(NC(C)=O)SC
30560-22-6	CAS-RN	DTXSID80952851	N-[Methoxy(methylsulfanyl)phosphoryl]decanimidic acid	CCCCCCCCCC(O)=NP(=O)(OC)SC	CCCCCCCCCC(O)=NP(=O)(OC)SC
30560-26-0	CAS-RN	DTXSID40952852	N-[Methoxy(methylsulfanyl)phosphoryl]butanimidic acid	CCCC(O)=NP(=O)(OC)SC	CCCC(O)=NP(=O)(OC)SC
30560-27-1	CAS-RN	DTXSID00952853	N-[Methoxy(methylsulfanyl)phosphoryl]propanimidic acid	CCC(O)=NP(=O)(OC)SC	CCC(O)=NP(=O)(OC)SC
30560-28-2	CAS-RN	DTXSID60952854	N-[Methoxy(methylsulfanyl)phosphoryl]-2-methylpropanimidic acid	COP(=O)(SC)N=C(O)C(C)C	COP(=O)(SC)N=C(O)C(C)C
30560-29-3	CAS-RN	DTXSID20952855	N-[Methoxy(methylsulfanyl)phosphoryl]hexanimidic acid	CCCCCC(O)=NP(=O)(OC)SC	CCCCCC(O)=NP(=O)(OC)SC
30560-33-9	CAS-RN	DTXSID80952856	2,2-Dichloro-N-[methoxy(methylsulfanyl)phosphoryl]ethanimidic acid	COP(=O)(SC)N=C(O)C(Cl)Cl	COP(=O)(SC)N=C(O)C(Cl)Cl
30560-37-3	CAS-RN	DTXSID40952857	N-[Ethoxy(methylsulfanyl)phosphoryl]ethanimidic acid	CCOP(=O)(SC)N=C(C)O	CCOP(=O)(SC)N=C(C)O
30562-34-6	CAS-RN	DTXSID7042691	Geldanamycin	CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O	COC1CC(C)CC2=C(OC)C(=O)CC(=NC(=O)C(C)=CC=CC(OC)C(OC(N)=O)C(C)=CC(C)C1O)C2=O
30578-37-1	CAS-RN	DTXSID00184657	Amezinium metilsulfate	COS([O-])(=O)=O.COC1=[N+](N=CC(N)=C1)C1=CC=CC=C1	COC1=[N+](N=CC(N)=C1)C1=CC=CC=C1
306-07-0	CAS-RN	DTXSID1044647	Pargyline hydrochloride	Cl.CN(CC#C)CC1=CC=CC=C1	CN(CC#C)CC1=CC=CC=C1
306-37-6	CAS-RN	DTXSID6020517	1,2-Dimethylhydrazine dihydrochloride	Cl.Cl.CNNC	CNNC
306-52-5	CAS-RN	DTXSID9023700	Triclofos	OP(O)(=O)OCC(Cl)(Cl)Cl	OP(O)(=O)OCC(Cl)(Cl)Cl
3060-89-7	CAS-RN	DTXSID6042157	Metobromuron	CON(C)C(=O)NC1=CC=C(Br)C=C1	CON(C)C(=O)NC1=CC=C(Br)C=C1
3061-65-2	CAS-RN	DTXSID40184676	Acetic acid, 1-cyanovinyl ester	CC(=O)OC(=C)C#N	CC(=O)OC(=C)C#N
30616-36-5	CAS-RN	DTXSID50184682	Acetic acid, bis(p-chlorophenoxy)-, cyclohexyl ester	ClC1=CC=C(OC(OC2=CC=C(Cl)C=C2)C(=O)OC2CCCCC2)C=C1	ClC1=CC=C(OC(OC2=CC=C(Cl)C=C2)C(=O)OC2CCCCC2)C=C1
30618-84-9	CAS-RN	DTXSID2027965	Glycerol monomercaptoacetate	-	-
30638-08-5	CAS-RN	DTXSID4051370	Phthalocyaninemonosulfonic acid cobalt(II) complex	-	-
3064-70-8	CAS-RN	DTXSID3032331	Bis(trichloromethyl)sulfone	ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl	ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl
30652-11-0	CAS-RN	DTXSID6040666	Deferiprone	CN1C=CC(=O)C(O)=C1C	CC1N(C)C=CC(=O)C1=O
30653-83-9	NO_MATCH	-	-	-	-
30674-80-7	CAS-RN	DTXSID6051986	2-Isocyanatoethyl methacrylate	CC(=C)C(=O)OCCN=C=O	CC(=C)C(=O)OCCN=C=O
30677-46-4	NO_MATCH	-	-	-	-
30685-43-9	CAS-RN	DTXSID0023294	Methyldigoxin	CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@H](CC[C@]65O)C5=CC(=O)OC5)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C	COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(CCC65O)C5=CC(=O)OC5)C4)OC3C)OC2C)OC1C
3069-29-2	CAS-RN	DTXSID1044649	N-{3-[Dimethoxy(methyl)silyl]propyl}ethane-1,2-diamine	CO[Si](C)(CCCNCCN)OC	CO[Si](C)(CCCNCCN)OC
30699-99-1	CAS-RN	DTXSID70952941	Methanethione	C=S	C=S
307-35-7	CAS-RN	DTXSID5027140	Perfluorooctanesulfonyl fluoride	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O
3070-16-4	CAS-RN	DTXSID80184731	Demethylfenthion	COP(=S)(OC)OC1=CC=C(SC)C=C1	COP(=S)(OC)OC1=CC=C(SC)C=C1
3070-19-7	CAS-RN	DTXSID40184732	Ethyl chlorthion	CCOP(=S)(OCC)OC1=CC(Cl)=C(C=C1)[N+]([O-])=O	CCOP(=S)(OCC)OC1=CC(Cl)=C(C=C1)[N+]([O-])=O
3071-73-6	CAS-RN	DTXSID10889368	1-Naphthalenesulfonic acid, 8-(phenylamino)-5-[2-[4-[2-(5-sulfo-1-naphthalenyl)diazenyl]-1-naphthalenyl]diazenyl]-, sodium salt (1:2)	[Na+].[Na+].[O-]S(=O)(=O)C1=CC=CC2=C1C=CC=C2\N=N\C1=CC=C(\N=N\C2=CC=C(NC3=CC=CC=C3)C3=C2C=CC=C3S([O-])(=O)=O)C2=C1C=CC=C2	OS(=O)(=O)C1=CC=CC2=C(C=CC=C12)N=NC1=C2C=CC=CC2=C(C=C1)N=NC1=CC=C(NC2=CC=CC=C2)C2=C(C=CC=C12)S(O)(=O)=O
30725-71-4	CAS-RN	DTXSID40952953	O,O-Diethyl S-[(2-oxo-1,3-benzoxazol-3(2H)-yl)methyl] phosphorodithioate	CCOP(=S)(OCC)SCN1C(=O)OC2=CC=CC=C12	CCOP(=S)(OCC)SCN1C(=O)OC2=CC=CC=C12
30746-58-8	CAS-RN	DTXSID7074030	1,2,3,4-Tetrachlorodibenzo-p-dioxin	ClC1=C(Cl)C2=C(OC3=CC=CC=C3O2)C(Cl)=C1Cl	ClC1=C(Cl)C2=C(OC3=CC=CC=C3O2)C(Cl)=C1Cl
30748-29-9	CAS-RN	DTXSID3023051	Feprazone	CC(C)=CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1	CC(C)=CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
30751-05-4	CAS-RN	DTXSID2023725	Troxipide	COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1	COC1=CC(=CC(OC)=C1OC)C(=O)NC1CCCNC1
30764-80-8	CAS-RN	DTXSID00952979	[({(Propane-2,2-diyl)bis[(4,1-phenylene)oxy]carbonyl}oxy)ethane-2,1-diyl] bis(2-methylprop-2-enoate)	CC(=C)C(=O)OCCOC(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OC(=O)OCCOC(=O)C(C)=C)C=C1	CC(=C)C(=O)OCCOC(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OC(=O)OCCOC(=O)C(C)=C)C=C1
3081-01-4	CAS-RN	DTXSID5027516	N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine	CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1
3081-14-9	CAS-RN	DTXSID2024618	N,N'-Bis(1,4-dimethylpentyl)-4-phenylenediamine	CC(C)CCC(C)NC1=CC=C(NC(C)CCC(C)C)C=C1	CC(C)CCC(C)NC1=CC=C(NC(C)CCC(C)C)C=C1
30817-43-7	CAS-RN	DTXSID50953017	1-[3-(Cyclohex-1-en-1-yl)-3-phenylpropyl]-1-methylpiperidin-1-ium methyl sulfate	COS([O-])(=O)=O.C[N+]1(CCC(C2=CCCCC2)C2=CC=CC=C2)CCCCC1	C[N+]1(CCC(C2=CCCCC2)C2=CC=CC=C2)CCCCC1
3083-25-8	CAS-RN	DTXSID8025250	1,2-Epoxy-4,4,4-trichlorobutane	ClC(Cl)(Cl)CC1CO1	ClC(Cl)(Cl)CC1CO1
3084-62-6	NO_MATCH	-	-	-	-
3087-16-9	CAS-RN	DTXSID4046577	Acid green 50	[Na+].CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C2C=CC(=CC2=CC(=C1O)S([O-])(=O)=O)S([O-])(=O)=O	CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C(O)C(=CC2=CC(=CC=C12)S(O)(=O)=O)S(O)(=O)=O
3089-17-6	CAS-RN	DTXSID1029253	2,9-Dichloro-5,12-dihydroquino[2,3-b]acridine-7,14-dione	ClC1=CC=C2NC3=CC4=C(NC5=CC=C(Cl)C=C5C4=O)C=C3C(=O)C2=C1	ClC1=CC=C2NC3=CC4=C(NC5=CC=C(Cl)C=C5C4=O)C=C3C(=O)C2=C1
309-00-2	CAS-RN	DTXSID8020040	Aldrin	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl	ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
309-43-3	CAS-RN	DTXSID5022019	Secobarbital, sodium salt	[Na+].CCCC(C)C1(CC=C)C(=O)NC([O-])=NC1=O	CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
30914-89-7	NO_MATCH	-	-	-	-
3092-17-9	Deleted CAS-RN	DTXSID1047493	Midodrine hydrochloride	Cl.COC1=CC=C(OC)C(=C1)C(O)CNC(=O)CN	COC1=CC=C(OC)C(=C1)C(O)CNC(=O)CN
3093-35-4	CAS-RN	DTXSID6045375	Halcinonide	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CCl	CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CCl
3094-09-5	CAS-RN	DTXSID2022967	Doxifluridine	C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O	CC1OC(C(O)C1O)N1C=C(F)C(=O)NC1=O
30950-27-7	CAS-RN	DTXSID701014887	1-Cyclohexene-1-carboxaldehyde, 4-isopropenyl-, anti-oxime	[H]O\N=C(/[H])C1=CCC(CC1)C(C)=C	CC(=C)C1CCC(C=NO)=CC1
30979-48-7	CAS-RN	DTXSID70184967	N-Isobutyl-2-oxo-1-imidazolidinecarboxamide	CC(C)CNC(=O)N1CCNC1=O	CC(C)CNC(=O)N1CCNC1=O
30989-05-0	CAS-RN	DTXSID40184974	Tris(2-(2-(2-methoxyethoxy)ethoxy)ethyl) orthoborate	COCCOCCOCCOB(OCCOCCOCCOC)OCCOCCOCCOC	COCCOCCOCCOB(OCCOCCOCCOC)OCCOCCOCCOC
3099-88-5	CAS-RN	DTXSID50953118	O-Ethyl S-(2-methylphenyl) ethylphosphonodithioate	CCOP(=S)(CC)SC1=CC=CC=C1C	CCOP(=S)(CC)SC1=CC=CC=C1C
3100-04-7	CAS-RN	DTXSID2035643	1-Methylcyclopropene	CC1=CC1	CC1=CC1
3101-60-8	CAS-RN	DTXSID1024702	tert-Butyl phenyl glycidyl ether	CC(C)(C)C1=CC=C(OCC2CO2)C=C1	CC(C)(C)C1=CC=C(OCC2CO2)C=C1
3102-00-9	NO_MATCH	-	-	-	-
31024-56-3	CAS-RN	DTXSID1067590	1-Butanamine, N-[3-(trimethoxysilyl)propyl]-	CCCCNCCC[Si](OC)(OC)OC	CCCCNCCC[Si](OC)(OC)OC
31027-31-3	CAS-RN	DTXSID40184999	p-Isopropylphenyl isocyanate	CC(C)C1=CC=C(C=C1)N=C=O	CC(C)C1=CC=C(C=C1)N=C=O
3105-97-3	CAS-RN	DTXSID9023128	Hycanthone	CCN(CC)CCNC1=CC=C(CO)C2=C1C(=O)C1=CC=CC=C1S2	CCN(CC)CCNC1=CC=C(CO)C2=C1C(=O)C1=CC=CC=C1S2
31080-68-9	CAS-RN	DTXSID60185029	Benzoxazole, 5-chloro-2-methoxy-	COC1=NC2=C(O1)C=CC(Cl)=C2	COC1=NC2=C(O1)C=CC(Cl)=C2
31093-47-7	CAS-RN	DTXSID10185039	Decylbenzenesulfonic acid	-	-
31098-20-1	CAS-RN	DTXSID101014889	2-Propenoic acid, 3-sulfopropyl ester, potassium salt (1:1)	[K+].[O-]S(=O)(=O)CCCOC(=O)C=C	OS(=O)(=O)CCCOC(=O)C=C
311-28-4	CAS-RN	DTXSID30878092	Tetrabutylammonium iodide	[I-].CCCC[N+](CCCC)(CCCC)CCCC	CCCC[N+](CCCC)(CCCC)CCCC
311-44-4	CAS-RN	DTXSID40185042	Phosphoric acid, bis(2-chloroethyl) p-nitrophenyl ester	[O-][N+](=O)C1=CC=C(OP(=O)(OCCCl)OCCCl)C=C1	[O-][N+](=O)C1=CC=C(OP(=O)(OCCCl)OCCCl)C=C1
311-45-5	CAS-RN	DTXSID6024046	Paraoxon	CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O	CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O
311-47-7	CAS-RN	DTXSID3075385	Phosphoric acid, 2-chloroethenyl diethyl ester	CCOP(=O)(OCC)OC=CCl	CCOP(=O)(OCC)OC=CCl
311-89-7	CAS-RN	DTXSID0027141	Perfluorotributylamine	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3111-71-5	CAS-RN	DTXSID00953209	2-{4-[3-(1-Chloro-10H-phenothiazin-10-yl)propyl]piperazin-1-yl}ethan-1-ol--hydrogen chloride (1/1)	Cl.OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=CC(Cl)=C23)CC1	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=CC(Cl)=C23)CC1
31112-62-6	CAS-RN	DTXSID1023310	Metrizamide	CN(C(C)=O)C1=C(I)C(NC(C)=O)=C(I)C(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)=C1I	CN(C(C)=O)C1=C(I)C(NC(C)=O)=C(I)C(C(=O)NC2C(O)OC(CO)C(O)C2O)=C1I
3112-85-4	CAS-RN	DTXSID1075228	Benzene, (methylsulfonyl)-	CS(=O)(=O)C1=CC=CC=C1	CS(=O)(=O)C1=CC=CC=C1
31138-65-5	CAS-RN	DTXSID7027966	Monosodium D-glucoheptonate	[Na+].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O	OCC(O)C(O)C(O)C(O)C(O)C(O)=O
31139-87-4	CAS-RN	DTXSID00185068	Asverin H	CN1CCCC(C1)=C(C1=CC=CS1)C1=CC=CS1.OC(=O)C1=CC=CC=C1C(=O)C1=CC=C(O)C=C1	CN1CCCC(C1)=C(C1=CC=CS1)C1=CC=CS1
31143-55-2	CAS-RN	DTXSID70185075	m-Cresol, 6-propyl-	CCCC1=C(O)C=C(C)C=C1	CCCC1=C(O)C=C(C)C=C1
3115-05-7	CAS-RN	DTXSID9057711	Iobenzamic acid	NC1=C(I)C(C(=O)N(CCC(O)=O)C2=CC=CC=C2)=C(I)C=C1I	NC1=C(I)C(C(=O)N(CCC(O)=O)C2=CC=CC=C2)=C(I)C=C1I
3115-68-2	CAS-RN	DTXSID6047945	Tetrabutylphosphonium bromide	[Br-].CCCC[P+](CCCC)(CCCC)CCCC	CCCCP(CCCC)(CCCC)CCCC
312-73-2	CAS-RN	DTXSID00185129	1H-Benzimidazole, 2-(trifluoromethyl)- (9CI)	FC(F)(F)C1=NC2=CC=CC=C2N1	FC(F)(F)C1=NC2=CC=CC=C2N1
312-94-7	CAS-RN	DTXSID10185130	alpha,alpha,alpha-Trifluoro-o-toluoyl chloride	FC(F)(F)C1=CC=CC=C1C(Cl)=O	FC(F)(F)C1=CC=CC=C1C(Cl)=O
3120-74-9	CAS-RN	DTXSID0051996	3-Methyl-4-(methylthio)phenol	CSC1=C(C)C=C(O)C=C1	CSC1=C(C)C=C(O)C=C1
3121-61-7	CAS-RN	DTXSID7025554	2-Methoxyethyl acrylate	COCCOC(=O)C=C	COCCOC(=O)C=C
