INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	SMILES	QSAR_READY_SMILES
10061-01-5	CAS-RN	DTXSID1032305	(Z)-Dichloropropene	ClC\C=C/Cl	ClCC=CCl
100646-51-3	CAS-RN	DTXSID0034857	Quizalofop-P-ethyl	CCOC(=O)[C@@H](C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1	CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
100678-32-8	CAS-RN	DTXSID0047820	Cifenline succinate	OC(=O)CCC(O)=O.C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1	C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1
1007-36-9	CAS-RN	DTXSID1074416	N-Methyl-N'-phenylurea	CNC(=O)NC1=CC=CC=C1	CNC(=O)NC1=CC=CC=C1
100706-81-8	CAS-RN	DTXSID90143475	Teomorfolin	CN1C2=C(N(CC(=O)N3CCOCC3)C=N2)C(=O)N(C)C1=O	CN1C2=C(N(CC(=O)N3CCOCC3)C=N2)C(=O)N(C)C1=O
100751-82-4	CAS-RN	DTXSID30143494	Restacorin	Cl.CN(C)C(\N)=N/NC1=C(C)C=CC=C1C	CN(C)C(N)N=NC1=C(C)C=CC=C1C
10078-25-8	CAS-RN	DTXSID70905735	2-Chloro-10-{3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl}-5lambda~4~-phenothiazin-5(10H)-one	OCCN1CCN(CCCN2C3=CC=CC=C3S(=O)C3=C2C=C(Cl)C=C3)CC1	OCCN1CCN(CCCN2C3=CC=CC=C3S(=O)C3=C2C=C(Cl)C=C3)CC1
100789-69-3	CAS-RN	DTXSID40905742	4-(Butan-2-yl)phenyl hydrogen methylcarbonimidate	CCC(C)C1=CC=C(OC(O)=NC)C=C1	CCC(C)C1=CC=C(OC(O)=NC)C=C1
10080-80-5	CAS-RN	DTXSID60905749	S-(3,8-Dimethyl-4,7-dioxo-2,9-dioxa-3,8-diazadecan-5-yl) O,O-dimethyl phosphorodithioate	CON(C)C(=O)CC(SP(=S)(OC)OC)C(=O)N(C)OC	CON(C)C(=O)CC(SP(=S)(OC)OC)C(=O)N(C)OC
10081-67-1	CAS-RN	DTXSID0027721	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
10085-81-1	CAS-RN	DTXSID60143543	Benzoctamine hydrochloride	Cl.[H]C12CCC(CNC)(C3=CC=CC=C13)C1=CC=CC=C21	CNCC12CCC(C3=CC=CC=C13)C1=C2C=CC=C1
10086-50-7	CAS-RN	DTXSID50905814	4-Methyl-2-(3-methylbutoxy)pentan-1-ol	CC(C)CCOC(CO)CC(C)C	CC(C)CCOC(CO)CC(C)C
1009-93-4	CAS-RN	DTXSID4037748	2,2,4,4,6,6-Hexamethylcyclotrisilazane	C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1	C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1
100924-68-3	CAS-RN	DTXSID00905849	2-[(1H-Benzimidazole-2-sulfinyl)methyl]-N,N-dimethylaniline	CN(C)C1=CC=CC=C1CS(=O)C1=NC2=CC=CC=C2N1	CN(C)C1=CC=CC=C1CS(=O)C1=NC2=CC=CC=C2N1
10094-34-5	CAS-RN	DTXSID5038830	alpha,alpha-Dimethylphenethyl butyrate	CCCC(=O)OC(C)(C)CC1=CC=CC=C1	CCCC(=O)OC(C)(C)CC1=CC=CC=C1
10097-02-6	CAS-RN	DTXSID8064939	Butanoic acid, 2,2-bis(hydroxymethyl)-	CCC(CO)(CO)C(O)=O	CCC(CO)(CO)C(O)=O
10097-26-4	CAS-RN	DTXSID60905865	2-Butyloctyl 2-methylprop-2-enoate	CCCCCCC(CCCC)COC(=O)C(C)=C	CCCCCCC(CCCC)COC(=O)C(C)=C
100981-43-9	CAS-RN	DTXSID80143601	Ebrotidine	NC(N)=NC1=NC(CSCC\N=C\NS(=O)(=O)C2=CC=C(Br)C=C2)=CS1	NC(N)=NC1=NC(CSCC\N=C\NS(=O)(=O)C2=CC=C(Br)C=C2)=CS1
100986-85-4	CAS-RN	DTXSID0041060	Levofloxacin	C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O	CC1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
10099-70-4	CAS-RN	DTXSID7064942	2-Butenedioic acid (2Z)-, bis(1-methylethyl) ester	CC(C)OC(=O)C=CC(=O)OC(C)C	CC(C)OC(=O)C=CC(=O)OC(C)C
10099-72-6	NO_MATCH	-	-	-	-
101-02-0	CAS-RN	DTXSID0026252	Triphenyl phosphite	O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1	O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1
101-05-3	CAS-RN	DTXSID9020089	Anilazine	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
101-07-5	CAS-RN	DTXSID60905880	2-[Bis(2-ethylhexyl)amino]ethan-1-ol	CCCCC(CC)CN(CCO)CC(CC)CCCC	CCCCC(CC)CN(CCO)CC(CC)CCCC
101-10-0	CAS-RN	DTXSID9034232	Cloprop	CC(OC1=CC(Cl)=CC=C1)C(O)=O	CC(OC1=CC(Cl)=CC=C1)C(O)=O
101-14-4	CAS-RN	DTXSID5020865	4,4'-Methylenebis(2-chloroaniline)	NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1	NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1
101-20-2	CAS-RN	DTXSID4026214	Triclocarban	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1
101-21-3	CAS-RN	DTXSID7020764	Chlorpropham	CC(C)OC(=O)NC1=CC=CC(Cl)=C1	CC(C)OC(=O)NC1=CC=CC(Cl)=C1
101-25-7	CAS-RN	DTXSID5020526	N,N-Dinitrosopentamethylenetetramine	O=NN1CN2CN(C1)CN(C2)N=O	O=NN1CN2CN(C1)CN(C2)N=O
101-26-8	CAS-RN	DTXSID9023540	Pyridostigmine bromide	[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1	CN(C)C(=O)OC1=C[N+](C)=CC=C1
101-27-9	CAS-RN	DTXSID3041617	Barban	ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1	ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1
101-37-1	CAS-RN	DTXSID8037754	2,4,6-Tris(allyloxy)-1,3,5-triazine	C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1	C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1
101-39-3	CAS-RN	DTXSID4025587	2-Methylcinnamic aldehyde	CC(C=O)=CC1=CC=CC=C1	CC(C=O)=CC1=CC=CC=C1
101-40-6	CAS-RN	DTXSID1023526	(+/-) Propylhexedrine	CNC(C)CC1CCCCC1	CNC(C)CC1CCCCC1
101-41-7	CAS-RN	DTXSID1044352	Methyl phenylacetate	COC(=O)CC1=CC=CC=C1	COC(=O)CC1=CC=CC=C1
101-42-8	CAS-RN	DTXSID7037551	Fenuron	CN(C)C(=O)NC1=CC=CC=C1	CN(C)C(=O)NC1=CC=CC=C1
101-49-5	CAS-RN	DTXSID1059230	1,3-Dioxolane, 2-(phenylmethyl)-	C(C1OCCO1)C1=CC=CC=C1	C(C1OCCO1)C1=CC=CC=C1
101-50-8	CAS-RN	DTXSID6059231	4-Aminoazobenzene-3,4'-disulphonic acid	NC1=C(C=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O	NC1=C(C=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O
101-54-2	CAS-RN	DTXSID7025895	N-Phenyl-1,4-benzenediamine	NC1=CC=C(NC2=CC=CC=C2)C=C1	NC1=CC=C(NC2=CC=CC=C2)C=C1
101-68-8	CAS-RN	DTXSID7025180	4,4'-Diphenylmethane diisocyanate	O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1	O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1
101-70-2	CAS-RN	DTXSID3025093	4,4'-Dimethoxydiphenylamine	COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1	COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1
101-72-4	CAS-RN	DTXSID1025485	N-Isopropyl-N'-phenyl-p-phenylenediamine	CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1
101-76-8	CAS-RN	DTXSID6059239	Bis(4-chlorophenyl)methane	ClC1=CC=C(CC2=CC=C(Cl)C=C2)C=C1	ClC1=CC=C(CC2=CC=C(Cl)C=C2)C=C1
101-77-9	CAS-RN	DTXSID6022422	4,4'-Diaminobiphenyl methane	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
101-80-4	CAS-RN	DTXSID0021094	4,4'-Oxydianiline	NC1=CC=C(OC2=CC=C(N)C=C2)C=C1	NC1=CC=C(OC2=CC=C(N)C=C2)C=C1
101-81-5	CAS-RN	DTXSID1041891	Diphenylmethane	C(C1=CC=CC=C1)C1=CC=CC=C1	C(C1=CC=CC=C1)C1=CC=CC=C1
101-83-7	CAS-RN	DTXSID6025018	Dicyclohexylamine	C1CCC(CC1)NC1CCCCC1	C1CCC(CC1)NC1CCCCC1
101-84-8	CAS-RN	DTXSID9021847	Diphenyl oxide	O(C1=CC=CC=C1)C1=CC=CC=C1	O(C1=CC=CC=C1)C1=CC=CC=C1
101-85-9	CAS-RN	DTXSID2049393	alpha-Amylcinnamyl alcohol	CCCCCC(CO)=CC1=CC=CC=C1	CCCCCC(CO)=CC1=CC=CC=C1
101-86-0	CAS-RN	DTXSID4026684	2-(Phenylmethylene)octanal	CCCCCCC(C=O)=CC1=CC=CC=C1	CCCCCCC(C=O)=CC1=CC=CC=C1
101-87-1	CAS-RN	DTXSID2051508	N-Cyclohexyl-N'-phenyl-4-phenylenediamine	C1CCC(CC1)NC1=CC=C(NC2=CC=CC=C2)C=C1	C1CCC(CC1)NC1=CC=C(NC2=CC=CC=C2)C=C1
101-90-6	CAS-RN	DTXSID2020470	Diglycidyl resorcinol ether	C(OC1=CC(OCC2CO2)=CC=C1)C1CO1	C(OC1=CC(OCC2CO2)=CC=C1)C1CO1
101-94-0	CAS-RN	DTXSID7051509	p-Tolyl phenylacetate	CC1=CC=C(OC(=O)CC2=CC=CC=C2)C=C1	CC1=CC=C(OC(=O)CC2=CC=CC=C2)C=C1
101-96-2	CAS-RN	DTXSID7024956	N,N'-Bis(1-methylpropyl)-1,4-benzenediamine	CCC(C)NC1=CC=C(NC(C)CC)C=C1	CCC(C)NC1=CC=C(NC(C)CC)C=C1
101-97-3	CAS-RN	DTXSID6044353	Ethyl phenylacetate	CCOC(=O)CC1=CC=CC=C1	CCOC(=O)CC1=CC=CC=C1
101007-06-1	CAS-RN	DTXSID3041584	Acrinathrin	CC1(C)[C@@H](\C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=CC=C1	CC1(C)C(C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1
101023-74-9	NO_MATCH	-	-	-	-
101030-71-1	NO_MATCH	-	-	-	-
101030-72-2	CAS-RN	DTXSID90143692	Crotonanilide, 4'-hydroxy-3-methyl-	CC(C)=CC(=O)NC1=CC=C(O)C=C1	CC(C)=CC(=O)NC1=CC=C(O)C=C1
